Date, Open, High, Low, Close
18/09/2022,20012,20140,19575,19726
23/03/2023,26742,28800,26685,28430
26/01/2021,33441,33441,30850,32014
09/01/2021,39085,41405,38700,40718
12/02/2024,48055,50314,47734,50190
05/09/2021,50011,50891,49517,50702
20/10/2015,264,273,264,271
11/01/2017,907,922,760,783
23/03/2017,1014,1054,1002,1039
29/03/2017,1024,1058,1010,1039
16/02/2019,3566,3607,3563,3599
08/05/2019,5843,5911,5668,5903
29/03/2020,6228,6305,5891,5903
06/12/2019,7386,7600,7315,7439
16/10/2019,8174,8174,7917,7951
03/07/2019,10775,11569,10593,11279
26/06/2019,11364,13853,11345,13839
27/12/2022,16839,16962,16601,16655
09/10/2022,19472,19557,19269,19471
29/12/2018,3905,3934,3815,3856
28/09/2018,6658,6787,6531,6672
17/11/2017,7752,7995,7536,7696
27/07/2018,8264,8286,7798,8208
01/12/2022,17093,17301,16902,16912
08/10/2022,19467,19643,19430,19472
07/04/2023,28032,28133,27800,27920
13/02/2024,50190,50369,48380,49424
04/03/2015,284,289,271,273
28/05/2024,69217,69778,67235,68369
18/10/2024,66800,68997,66800,68625
19/11/2018,5535,5558,4872,4881
17/03/2020,4941,5496,4842,5393
10/07/2020,9220,9255,9125,9233
18/10/2022,19523,19694,19105,19217
19/08/2023,26029,26251,25800,26129
06/01/2021,34090,36348,33401,36113
16/06/2021,39966,40490,38339,38673
22/06/2024,64174,64485,63818,64273
22/10/2015,269,280,267,274
06/03/2015,269,284,269,274
02/01/2020,7215,7220,6915,6930
14/04/2020,6793,6985,6776,6930
04/11/2017,7292,7442,7011,7442
18/10/2019,8057,8116,7825,7954
29/07/2018,8192,8285,8125,8210
15/11/2019,8653,8766,8378,8466
07/07/2020,9295,9378,9222,9234
03/01/2023,16723,16776,16603,16658
13/01/2023,19062,19488,18719,19474
25/07/2023,29104,29365,29057,29202
19/12/2024,100648,102734,95585,96274
26/10/2023,34773,34842,33752,34066
29/07/2021,40390,40628,39301,39698
02/01/2024,43683,45913,43413,44818
23/04/2021,52915,52915,47551,50962
10/10/2024,60981,61238,58889,59666
02/03/2015,248,275,248,275
06/07/2015,270,279,268,275
08/03/2015,278,279,272,275
